ds,y
2019-11-01,171637
2019-11-01,278314
2019-11-01,379915
2019-11-01,152029
2019-11-01,328094
2019-11-01,125450
2019-11-01,229539
2019-11-01,137022
2019-11-01,314880
2019-11-01,123715
2019-10-01,334410
2019-10-01,172354
2019-10-01,357200
2019-10-01,305289
2019-10-01,134081
2019-10-01,146183
2019-10-01,256847
2019-10-01,419215
2019-09-01,168280
2019-09-01,226659
2019-09-01,260406
2019-09-01,311691
2019-09-01,104482
2019-09-01,145778
2019-09-01,210484
2019-09-01,151384
2019-09-01,117901
2019-09-01,128585
2019-08-01,332466
2019-08-01,357984
2019-08-01,168187
2019-08-01,221439
2019-08-01,375401
2019-08-01,324271
2019-08-01,127161
2019-08-01,120626
2019-08-01,277363
2019-08-01,131467
2019-08-01,332498
2019-08-01,140683
2019-07-01,163469
2019-07-01,288715
2019-07-01,99711
2019-07-01,330434
2019-07-01,141100
2019-07-01,137855
2019-07-01,381580
2019-07-01,220439
2019-07-01,163469
2019-07-01,124337
2019-07-01,315588
2019-07-01,288715
2019-07-01,99711
2019-07-01,330434
2019-07-01,141100
2019-07-01,137855
2019-07-01,381580
2019-07-01,220439
2019-07-01,163469
2019-07-01,124337
2019-07-01,315588
2019-07-01,315588
2019-07-01,288715
2019-07-01,99711
2019-07-01,330434
2019-07-01,141100
2019-07-01,137855
2019-07-01,381580
2019-06-01,220439
2019-06-01,124337
2019-06-01,338251
2019-06-01,386610
2019-06-01,158107
2019-06-01,226392
2019-06-01,162450
2019-06-01,106006
2019-06-01,142572
2019-06-01,287805
2019-06-01,125185
2019-06-01,320309
2019-06-01,338251
2019-06-01,386610
2019-06-01,158107
2019-06-01,226392
2019-06-01,162450
2019-06-01,106006
2019-06-01,142572
2019-06-01,287805
2019-06-01,125185
2019-06-01,320309
2019-06-01,338251
2019-06-01,386610
2019-06-01,158107
2019-06-01,226392
2019-06-01,162450
2019-06-01,106006
2019-06-01,142572
2019-06-01,287805
2019-06-01,125185
2019-06-01,320309
2019-06-01,338251
2019-06-01,386610
2019-06-01,158107
2019-06-01,226392
2019-06-01,162450
2019-06-01,106006
2019-06-01,142572
2019-06-01,287805
2019-06-01,125185
2019-06-01,320309
2019-06-01,338251
2019-06-01,386610
2019-06-01,158107
2019-06-01,226392
2019-06-01,162450
2019-06-01,106006
2019-06-01,142572
2019-06-01,287805
2019-06-01,125185
2019-06-01,320309
2019-06-01,338251
2019-06-01,386610
2019-06-01,158107
2019-06-01,226392
2019-06-01,162450
2019-06-01,106006
2019-06-01,142572
2019-06-01,287805
2019-06-01,125185
2019-06-01,320309
2019-06-01,338251
2019-06-01,386610
2019-06-01,158107
2019-06-01,226392
2019-06-01,162450
2019-06-01,106006
2019-06-01,142572
2019-06-01,287805
2019-06-01,125185
2019-06-01,320309
2019-06-01,338251
2019-06-01,386610
2019-06-01,158107
2019-06-01,226392
2019-06-01,162450
2019-06-01,106006
2019-06-01,142572
2019-06-01,287805
2019-06-01,125185
2019-06-01,320309
2019-06-01,338251
2019-06-01,386610
2019-06-01,158107
2019-06-01,226392
2019-06-01,162450
2019-06-01,106006
2019-06-01,142572
2019-06-01,287805
2019-06-01,125185
2019-06-01,320309
2019-06-01,338251
2019-06-01,386610
2019-06-01,158107
2019-06-01,226392
2019-06-01,162450
2019-06-01,106006
2019-06-01,142572
2019-06-01,287805
2019-06-01,125185
2019-06-01,320309
2019-05-01,171004
2019-05-01,353695
2019-05-01,151904
2019-05-01,112279
2019-05-01,307515
2019-05-01,131597
2019-05-01,336216
2019-05-01,176083
2019-05-01,408682
2019-04-01,247801
2019-04-01,109070
2019-04-01,160272
2019-04-01,294524
2019-04-01,328253
2019-04-01,128671
2019-04-01,347589
2019-04-01,144574
2019-04-01,164945
2019-03-01,243130
2019-03-01,391269
2019-03-01,295679
2019-03-01,341919
2019-03-01,131308
2019-03-01,113875
2019-03-01,168263
2019-03-01,407517
2019-03-01,168998
2019-03-01,147580
2019-03-01,341644
2019-02-01,241069
2019-02-01,132791
2019-02-01,277513
2019-02-01,116868
2019-02-01,140099
2019-02-01,292215
2019-02-01,339747
2019-02-01,193941
2019-02-01,234429
2019-01-01,87594
2019-01-01,108123
2019-01-01,387062
2019-01-01,126466
2019-01-01,374571
2019-01-01,146034
2019-01-01,134071
2019-01-01,102388
2019-01-01,221180
2019-01-01,352121
2018-12-01,162410
2018-12-01,275447
2018-12-01,227511
2018-12-01,327772
2018-12-01,141192
2018-12-01,272479
2018-12-01,123951
2018-12-01,169334
2018-12-01,145104
2018-12-01,108220
2018-12-01,323495
2018-12-01,393051
2018-11-01,124757
2018-11-01,265662
2018-11-01,378986
2018-11-01,160156
2018-11-01,339292
2018-11-01,322074
2018-11-01,109764
2018-11-01,230879
2018-10-01,147814
2018-10-01,136953
2018-10-01,353468
2018-10-01,144306
2018-10-01,155252
2018-10-01,241867
2018-10-01,111607
2018-10-01,332840
2018-10-01,128699
2018-10-01,288277
2018-09-01,394341
2018-09-01,165513
2018-09-01,117134
2018-09-01,252211
2018-09-01,360506
2018-09-01,145046
2018-09-01,358897
2018-09-01,334363
2018-09-01,110556
2018-09-01,208948
2018-08-01,152019
2018-08-01,127922
2018-08-01,319639
2018-08-01,95401
2018-08-01,209859
2018-08-01,125181
2018-08-01,124154
2018-08-01,114360
2018-08-01,253710
2018-08-01,353241
2018-08-01,154692
2018-08-01,316015
2018-07-01,119652
2018-07-01,265992
2018-07-01,360413
2018-07-01,155333
2018-07-01,322384
2018-07-01,315003
2018-07-01,93241
2018-07-01,210975
2018-07-01,132407
2018-06-01,133485
2018-06-01,336234
2018-06-01,138219
2018-06-01,147621
2018-06-01,215403
2018-06-01,95046
2018-06-01,322593
2018-06-01,122195
2018-06-01,279136
2018-05-01,374916
2018-05-01,153972
2018-05-01,126830
2018-05-01,294157
2018-05-01,389914
2018-05-01,165112
2018-05-01,346736
2018-05-01,333179
2018-05-01,98996
2018-05-01,230474
2018-05-01,155989
2018-05-01,143836
2018-04-01,372288
2018-04-01,281886
2018-04-01,124461
2018-04-01,137779
2018-04-01,224481
2018-04-01,96564
2018-04-01,321677
2018-04-01,340425
2018-04-01,154596
2018-04-01,151831
2018-03-01,144807
2018-03-01,161159
2018-03-01,111157
2018-03-01,228041
2018-03-01,332933
2018-03-01,349589
2018-03-01,170206
2018-03-01,401375
2018-03-01,302624
2018-03-01,132858
2018-03-01,144807
2018-03-01,161159
2018-03-01,111157
2018-03-01,228041
2018-03-01,332933
2018-03-01,349589
2018-03-01,170206
2018-03-01,401375
2018-03-01,302624
2018-03-01,132858
2018-02-01,291673
2018-02-01,81569
2018-02-01,102707
2018-02-01,223197
2018-02-01,311066
2018-02-01,134067
2018-02-01,305913
2018-02-01,110530
2018-01-01,120318
