ds,y
2019-11-01,171637
2019-11-01,278314
2019-11-01,379915
2019-11-01,152029
2019-11-01,328094
2019-11-01,125450
2019-11-01,229539
2019-11-01,137022
2019-11-01,314880
2019-11-01,123715
2019-11-01,62404
2019-11-01,206093
2019-11-01,158333
2019-11-01,100663
2019-11-01,86686
2019-11-01,101735
2019-11-01,67543
2019-11-01,118013
2019-11-01,7844
2019-11-01,103063
2019-11-01,109041
2019-11-01,66148
2019-11-01,92809
2019-11-01,145523
2019-11-01,251943
2019-11-01,189641
2019-11-01,37398
2019-11-01,64148
2019-11-01,151012
2019-11-01,131332
2019-11-01,137190
2019-11-01,54240
2019-11-01,18763
2019-11-01,171227
2019-11-01,94491
2019-11-01,67135
2019-11-01,80770
2019-11-01,222610
2019-11-01,68589
2019-11-01,69392
2019-11-01,115392
2019-11-01,91532
2019-11-01,124979
2019-11-01,25191
2019-11-01,125864
2019-11-01,58196
2019-11-01,68938
2019-11-01,221920
2019-11-01,51216
2019-11-01,109462
2019-11-01,115954
2019-11-01,231152
2019-11-01,71129
2019-11-01,10234
2019-11-01,226843
2019-11-01,90698
2019-11-01,113158
2019-11-01,184515
2019-11-01,16070
2019-11-01,175678
2019-11-01,65132
2019-11-01,20235
2019-11-01,60566
2019-11-01,45346
2019-11-01,67317
2019-11-01,159116
2019-11-01,115122
2019-11-01,30751
2019-11-01,207579
2019-11-01,80985
2019-11-01,43078
2019-11-01,58448
2019-11-01,125052
2019-11-01,32948
2019-11-01,75122
2019-11-01,78341
2019-11-01,152216
2019-11-01,120170
2019-11-01,79686
2019-11-01,63597
2019-11-01,1
2019-11-01,284773
2019-11-01,82125
2019-11-01,64377
2019-11-01,64348
2019-11-01,41776
2019-11-01,155138
2019-11-01,135161
2019-11-01,69569
2019-11-01,11450
2019-11-01,139940
2019-11-01,89661
2019-11-01,183655
2019-11-01,30912
2019-11-01,21509
2019-11-01,206760
2019-11-01,177036
2019-11-01,59249
2019-11-01,97220
2019-11-01,101107
2019-11-01,49611
2019-11-01,8948
2019-11-01,97176
2019-11-01,159001
2019-11-01,80463
2019-11-01,137143
2019-11-01,127345
2019-11-01,215037
2019-11-01,54813
2019-11-01,147206
2019-11-01,194323
2019-11-01,43131
2019-11-01,98210
2019-11-01,161312
2019-11-01,66663
2019-11-01,123482
2019-11-01,80687
2019-11-01,124317
2019-11-01,29030
2019-11-01,207276
2019-11-01,50372
2019-11-01,69828
2019-11-01,61530
2019-11-01,90857
2019-11-01,16253
2019-11-01,52484
2019-11-01,74493
2019-11-01,20941
2019-11-01,60076
2019-11-01,42217
2019-11-01,99151
2019-11-01,12376
2019-11-01,126003
2019-11-01,114811
2019-11-01,67826
2019-11-01,27604
2019-11-01,73630
2019-11-01,165424
2019-11-01,85240
2019-11-01,35033
2019-11-01,51526
2019-11-01,119923
2019-11-01,47097
2019-11-01,29673
2019-11-01,40354
2019-11-01,37756
2019-11-01,41275
2019-11-01,55281
2019-11-01,102678
2019-11-01,28885
2019-11-01,82616
2019-11-01,9066
2019-11-01,50023
2019-11-01,52655
2019-11-01,66690
2019-11-01,71176
2019-11-01,48871
2019-11-01,29587
2019-11-01,143203
2019-11-01,29964
2019-11-01,95834
2019-11-01,84209
2019-11-01,92339
2019-11-01,34771
2019-11-01,68637
2019-11-01,151093
2019-11-01,92498
2019-11-01,19770
2019-11-01,69272
2019-11-01,57290
2019-11-01,44675
2019-11-01,73813
2019-11-01,36846
2019-11-01,26424
2019-11-01,34373
2019-11-01,81296
2019-11-01,15644
2019-11-01,81709
2019-11-01,17030
2019-11-01,23542
2019-11-01,20055
2019-11-01,42068
2019-11-01,19407
2019-11-01,35817
2019-11-01,38404
2019-11-01,50987
2019-11-01,74163
2019-11-01,56399
2019-11-01,88563
2019-11-01,80640
2019-11-01,45163
2019-11-01,63495
2019-11-01,60735
2019-11-01,43768
2019-11-01,20935
2019-11-01,55614
2019-11-01,40568
2019-11-01,59940
2019-11-01,92973
2019-11-01,33409
2019-11-01,21042
2019-11-01,1
2019-11-01,88439
2019-11-01,43139
2019-11-01,37870
2019-11-01,21496
2019-11-01,51225
2019-11-01,58949
2019-11-01,121597
2019-11-01,75479
2019-11-01,66113
2019-11-01,37249
2019-11-01,102232
2019-11-01,53855
2019-11-01,38824
2019-11-01,65591
2019-11-01,67963
2019-11-01,73958
2019-11-01,54399
2019-11-01,18400
2019-11-01,121646
2019-11-01,70251
2019-11-01,40430
2019-11-01,81761
2019-11-01,93503
2019-11-01,58732
2019-11-01,46056
2019-11-01,156332
2019-11-01,76515
2019-11-01,97120
2019-11-01,37649
2019-11-01,78544
2019-11-01,56375
2019-11-01,60878
2019-11-01,47437
2019-11-01,98637
2019-11-01,71308
2019-11-01,100872
2019-11-01,84175
2019-11-01,79933
2019-11-01,64122
2019-11-01,39841
2019-11-01,83945
2019-11-01,28084
2019-11-01,65467
2019-11-01,63482
2019-11-01,82053
2019-11-01,32595
2019-11-01,45179
2019-11-01,106334
2019-11-01,44997
2019-11-01,62407
2019-11-01,49978
2019-11-01,111624
2019-11-01,29017
2019-11-01,55512
2019-11-01,9234
2019-11-01,92053
2019-11-01,36757
2019-11-01,34143
2019-11-01,64441
2019-11-01,62417
2019-11-01,45741
2019-11-01,93467
2019-11-01,80340
2019-11-01,59423
2019-11-01,54290
2019-11-01,55970
2019-11-01,102812
2019-11-01,74966
2019-11-01,52153
2019-11-01,52651
2019-11-01,36987
2019-11-01,81457
2019-11-01,70573
2019-11-01,68294
2019-11-01,35370
2019-11-01,72322
2019-11-01,104774
2019-11-01,70232
2019-11-01,25842
2019-11-01,25769
2019-11-01,19024
2019-11-01,60090
2019-11-01,14948
2019-11-01,58367
2019-11-01,43996
2019-11-01,49848
2019-11-01,65835
2019-11-01,22934
2019-11-01,24430
2019-11-01,25491
2019-11-01,44187
2019-11-01,14914
2019-11-01,60798
2019-11-01,84209
2019-11-01,132140
2019-11-01,44775
2019-11-01,29701
2019-11-01,34547
2019-11-01,21873
2019-11-01,23874
2019-11-01,35921
2019-11-01,38076
2019-11-01,43008
2019-11-01,36756
2019-11-01,32601
2019-11-01,42269
2019-11-01,32496
2019-11-01,28834
2019-11-01,24829
2019-11-01,28365
2019-11-01,47988
2019-10-01,48529
2019-10-01,15958
2019-10-01,334410
2019-10-01,41173
2019-10-01,35133
2019-10-01,28858
2019-10-01,34974
2019-10-01,16777
2019-10-01,30973
2019-10-01,25786
2019-10-01,39882
2019-10-01,49491
2019-10-01,50813
2019-10-01,45262
2019-10-01,38864
2019-10-01,45645
2019-10-01,62841
2019-10-01,45287
2019-10-01,46928
2019-10-01,60363
2019-10-01,73497
2019-10-01,28413
2019-10-01,26643
2019-10-01,45556
2019-10-01,26313
2019-10-01,17896
